occupation - Split 1,education - Split 1,education - Split 2,education - Split 3,education - Split 4,education - Split 5,almamater - Split 1,almamater - Split 2,almamater - Split 3,almamater - Split 4,name,wiki_link,age,country_born,state_born,city_born,nationality,almamater,education,Gender,occupation,political_party
Entertainment and Show Business,,,,,,,,,,Gary Owen,https://en.wikipedia.org/wiki/Gary_Owen_(comedian),44,Ohio,Cincinnati,,American,,,M,"['Actor', 'comedian']",
Entertainment and Show Business,,,,,,University of Victoria,,,,Thomas Middleditch,https://en.wikipedia.org/wiki/Thomas_Middleditch,36,Canada,British Columbia,Nelson,Canadian,['University of Victoria'],,M,"['Actor', 'screenwriter']",
Entertainment and Show Business,,,,,,Ryerson University,,,,Jason Jones,https://en.wikipedia.org/wiki/Jason_Jones_(actor),45,Canada,Ontario,Hamilton,Canadian,['Ryerson University'],,M,"['Actor', 'comedian']",
Entertainment and Show Business,,,,,,,,,,Mike Myers,https://en.wikipedia.org/wiki/Mike_Myers,55,Canada,Ontario,Scarborough,American,,,M,"['Actor', 'comedian', 'writer', 'film producer', 'director']",
Entertainment and Show Business,,,,,,,,,,Derrick Beckles,https://en.wikipedia.org/wiki/Derrick_Beckles,,Canada,Toronto,,Canadian,,,M,"['Actor', 'comedian', 'writer', 'producer']",
Entertainment and Show Business,,,,,,,,,,Joshua Jackson,https://en.wikipedia.org/wiki/Joshua_Jackson,40,Canada,British Columbia,Vancouver,Canadian,,,M,['Actor'],
Entertainment and Show Business,,,,,,,,,,Ryan Reynolds,https://en.wikipedia.org/wiki/Ryan_Reynolds,42,Canada,British Columbia,Vancouver,American,,,M,"['Actor',  'Producer']",
Entertainment and Show Business,,,,,,,,,,Dan Levy,https://en.wikipedia.org/wiki/Dan_Levy_(TV_personality),35,Canada,Ontario,Toronto,Canadian,,,M,"['Actor', 'writer', 'producer', 'TV personality']",
Entertainment and Show Business,,,,,,,,,,Seth Rogen,https://en.wikipedia.org/wiki/Seth_Rogen,36,Canada,British Columbia,Vancouver,American,,,M,"['Actor', 'comedian', 'writer', 'producer', 'director']",
Entertainment and Show Business,,,,,,,,,,Eugene Levy,https://en.wikipedia.org/wiki/Eugene_Levy,71,Canada,Ontario,Hamilton,Canadian,,,M,"['Actor', 'comedian', 'producer', 'director', 'writer']",
Entertainment and Show Business,,,,,,,,,,Ryan Gosling,https://en.wikipedia.org/wiki/Ryan_Gosling,37,Canada,Ontario,London,Canadian,,,M,"['Actor', 'musician']",
Entertainment and Show Business,,,,,,,,,,Will Arnett,https://en.wikipedia.org/wiki/Will_Arnett,48,Canada,Ontario,Toronto,American,,,M,"['Actor', 'comedian', 'producer']",
Entertainment and Show Business,,,,,,,,,,Édgar Ramírez,https://en.wikipedia.org/wiki/%C3%89dgar_Ram%C3%ADrez,41,Venezuela,Tchira,San Cristbal,Venezuelan,,,M,['Actor'],
Entertainment and Show Business,,,,,,University of California,,,,Jimmy O. Yang,https://en.wikipedia.org/wiki/Jimmy_O._Yang,31,Hong Kong,,,American,"['University of California, San Diego']",,M,['Actor'],
Entertainment and Show Business,,,,,,Max Reinhardt Seminar,,,,Christoph Waltz,https://en.wikipedia.org/wiki/Christoph_Waltz,62,Austria,Vienna,,Austrian,['Max Reinhardt Seminar'],,M,"['Actor', 'director', 'voice actor']",
Entertainment and Show Business,,,,,,,,,,Parker Sawyers,https://en.wikipedia.org/wiki/Parker_Sawyers,34,,,,American,,,M,['Actor'],
Entertainment and Show Business,,,,,,Ithaca College,,,,Andy Daly,https://en.wikipedia.org/wiki/Andy_Daly,47,U.S.,New York,Mount Kisco,American,['Ithaca College'],,M,"['Actor', 'comedian', 'writer']",
Entertainment and Show Business,,,,,,Carnegie Mellon University,,,,Denée Benton,https://en.wikipedia.org/wiki/Den%C3%A9e_Benton,25,U.S.,Florida,,American,['Carnegie Mellon University'],,M,"['Actor', 'singer']",
Entertainment and Show Business,,,,,,Howard University,British American Drama Academy,Digital Film Academy,,Chadwick Boseman,https://en.wikipedia.org/wiki/Chadwick_Boseman,40,U.S.,South Carolina,Anderson,American,"['Howard University', 'British American Drama Academy', 'Digital Film Academy']",,M,"['Actor', 'director', 'producer']",
Entertainment and Show Business,,,,,,Kansas State University,,,,Eric Stonestreet,https://en.wikipedia.org/wiki/Eric_Stonestreet,47,U.S.,Kansas,Kansas City,American,['Kansas State University'],,M,"['Actor', 'comedian']",
Entertainment and Show Business,,,,,,Boston University,,,,Julianne Moore,https://en.wikipedia.org/wiki/Julianne_Moore,57,U.S.,North Carolina,Fort Bragg,American,['Boston University'],,F,"['Actor', 'childrens author']",
Entertainment and Show Business,,,,,,Beverly Hills High School,,,,Logan Lerman,https://en.wikipedia.org/wiki/Logan_Lerman,26,U.S.,California,Beverly Hills,American,['Beverly Hills High School'],,M,['Actor'],
Entertainment and Show Business,,,,,,Ithaca College,,,,David Boreanaz,https://en.wikipedia.org/wiki/David_Boreanaz,49,U.S.,New York,Buffalo,American,['Ithaca College'],,M,"['Actor', 'producer',  'director']",
Entertainment and Show Business,,,,,,University of Houston,,,,Dennis Quaid,https://en.wikipedia.org/wiki/Dennis_Quaid,64,U.S.,Texas,Houston,American,['University of Houston'],,M,"['Actor', 'producer', 'director', 'singer', 'writer']",
Entertainment and Show Business,,,,,,University of Georgia,,,,Omari Hardwick,https://en.wikipedia.org/wiki/Omari_Hardwick,44,U.S.,Georgia,Savannah,American,['University of Georgia'],,M,['Actor'],
Entertainment and Show Business,,,,,,University of Georgia,,,,Tituss Burgess,https://en.wikipedia.org/wiki/Tituss_Burgess,39,U.S.,Georgia,Athens,American,['University of Georgia'],,M,"['Actor', 'singer']",
Entertainment and Show Business,,,,,,Juilliard School,,,,Adam Driver,https://en.wikipedia.org/wiki/Adam_Driver,34,U.S.,California,San Diego,American,['Juilliard School'],,M,['Actor'],
Entertainment and Show Business,,,,,,Yale University,,,,John Hodgman,https://en.wikipedia.org/wiki/John_Hodgman,47,U.S.,Massachusetts,Brookline,American,['Yale University'],,M,"['Actor', 'author', 'humorist', 'television personality']",
Entertainment and Show Business,,,,,,Yale University,,,,Paul Giamatti,https://en.wikipedia.org/wiki/Paul_Giamatti,51,U.S.,Connecticut,New Haven,American,['Yale University'],,M,"['Actor', 'producer']",
Entertainment and Show Business,,,,,,University of Southern California,,,,Ron Howard,https://en.wikipedia.org/wiki/Ron_Howard,64,U.S.,Oklahoma,Duncan,American,['University of Southern California'],,M,"['Actor', 'filmmaker']",
Entertainment and Show Business,,,,,,University of Southern California,,,,Tom Selleck,https://en.wikipedia.org/wiki/Tom_Selleck,73,U.S.,Michigan,Detroit,American,['University of Southern California'],,M,"['Actor', 'film producer']",
Entertainment and Show Business,,,,,,University of Southern California,,,,Will Ferrell,https://en.wikipedia.org/wiki/Will_Ferrell,51,U.S.,California,Irvine,American,['University of Southern California'],,M,"['Actor', 'comedian', 'producer', 'writer']",
Entertainment and Show Business,,,,,,Alliant International University,,,,Jamie Foxx,https://en.wikipedia.org/wiki/Jamie_Foxx,50,U.S.,Texas,Terrell,American,['Alliant International University'],,M,"['Actor', 'singer', 'songwriter', 'record producer', 'comedian']",
Entertainment and Show Business,,,,,,Berklee College of Music,,,,Eric Andre,https://en.wikipedia.org/wiki/Eric_Andre,35,U.S.,Florida,Boca Raton,American,['Berklee College of Music'],,M,['Actor'],
Entertainment and Show Business,,,,,,University of Michigan,,,,Darren Criss,https://en.wikipedia.org/wiki/Darren_Criss,31,U.S.,California,San Francisco,American,['University of Michigan'],,M,"['Actor', 'singer', 'songwriter']",
