,name,wiki_link,age,country_born,state_born,city_born,nationality,almamater,education,occupation,political_party
12,Kevin Spacey,https://en.wikipedia.org/wiki/Kevin_Spacey,59,U.S.,New Jersey,South Orange,,,['Juilliard School'],['Actor  producer  singer'],
13,Carol Burnett,https://en.wikipedia.org/wiki/Carol_Burnett,85,U.S.,, ,,,['UCLA'],,
14,Trevor Noah,https://en.wikipedia.org/wiki/Trevor_Noah,34,South Africa, , ,,,,,
15,Ban Ki-moon,https://en.wikipedia.org/wiki/Ban_Ki-moon,74,South Korea,now Eumseong County, ,,,"['Seoul National University', 'BA', 'Harvard University', 'MPA']",,Independent
16,Lupita Nyong,https://en.wikipedia.org/wiki/Lupita_Nyong%27o,35,Mexico,Mexico City, ,,,"['Hampshire College', 'BA', 'Yale University', 'MFA']",['Actress'],
17,Bernie Sanders,https://en.wikipedia.org/wiki/Bernie_Sanders,77,U.S.,, ,,,"['University of Chicago', 'BA']",,Independent
18,Christopher Wheeldon,https://en.wikipedia.org/wiki/Christopher_Wheeldon,45,Somerset,Yeovil, ,English,,['Royal Ballet School'],,
19,Stephen Curry,https://en.wikipedia.org/wiki/Stephen_Curry,30,Ohio,Akron, ,American,,,,
20,Ted Cruz,https://en.wikipedia.org/wiki/Ted_Cruz,,Canada,, ,,,"['Princeton University', 'AB', 'Harvard University', 'JD']",,Republican
21,Donald Trump,https://en.wikipedia.org/wiki/Donald_Trump,72,New York City, , ,,"['The Wharton School', 'BS', 'in', 'Econ.']",,,Republican
22,Dr. Ernest Moniz,https://en.wikipedia.org/wiki/Ernest_Moniz,73,U.S., , ,,,"['Boston College', 'BS', 'Stanford University', 'MS', 'PhD']",,Democratic
