name,wiki_link,age,country_born,state_born,city_born,nationality,almamater,education,Gender,occupation,political_party
Jeff Fager,https://en.wikipedia.org/wiki/Jeff_Fager,63,U.S., Massachusetts, ,American,['Colgate University'],,M,['Television producer'],
Lesley Stahl,https://en.wikipedia.org/wiki/Lesley_Stahl,76,U.S.,Massachusetts,Lynn,American,['Wheaton College'],,F,['News reporter'],
Sean Astin,https://en.wikipedia.org/wiki/Sean_Astin,47,U.S.,California,Santa Monica,American,,"['Los Angeles Valley College', 'University of California, Los Angeles']",M,"['Actor', 'voice actor', 'director', 'producer']",
Jay Pharoah,https://en.wikipedia.org/wiki/Jay_Pharoah,31,U.S.,Virginia,Chesapeake,American,,,M,"['Actor', 'comedian', 'rapper']",
Elton John,https://en.wikipedia.org/wiki/Elton_John,71,U.K.,Middlesex,Pinner,British,,,M,"['Musician', 'singer', 'songwriter', 'composer']",
Tyler Perry,https://en.wikipedia.org/wiki/Tyler_Perry,49,U.S.,Louisiana,New Orleans,American,,,M,"['Actor', 'playwright', 'filmmaker', 'comedian']",
John Avlon,https://en.wikipedia.org/wiki/John_Avlon,44,U.S.,New York,New York City,American,"['Yale University', 'Columbia University']",,M,"['Author', 'columnist', 'Editor in Chief and Managing Director of The Daily Beast']",
Jordan Peele,https://en.wikipedia.org/wiki/Jordan_Peele,39,U.S.,New York,New York City,American,['Sarah Lawrence College'],,M,"['Actor', 'comedian', 'writer',  'producer',  'director']",
Alia Shawkat,https://en.wikipedia.org/wiki/Alia_Shawkat,29,U.S.,California,Riverside,American,,,F,"['Actress', 'producer']",
Ben Affleck,https://en.wikipedia.org/wiki/Ben_Affleck,46,U.S.,California,Berkeley,American,['Occidental College'],,M,"['Actor', 'filmmaker']",Democratic
Greta Gerwig,https://en.wikipedia.org/wiki/Greta_Gerwig,35,U.S.,California,Sacramento,American,['Barnard College'],,F,"['Actress', 'playwright', 'director', 'screenwriter']",
Desus,https://en.wikipedia.org/wiki/Desus,35,U.S.,New York,New York City,American,,['College of Mount Saint Vincent'],M,['YouTube personality'],
Mero,https://en.wikipedia.org/wiki/The_Kid_Mero,35,U.S., , ,American,,['Hunter College'],M,['YouTube personality'],
Justin Timberlake,https://en.wikipedia.org/wiki/Justin_Timberlake,37,U.S.,Tennessee,Memphis,American,,,M,"['Singer', 'songwriter', 'actor', 'dancer', 'record producer']",
Carmen Yulín Cruz,https://en.wikipedia.org/wiki/Carmen_Yul%C3%ADn_Cruz55,55,Puerto Rico, , ,American,,"['Boston University', 'Carnegie Mellon University']",F,['Mayor'],Popular Democratic
Kate Winslet,https://en.wikipedia.org/wiki/Kate_Winslet,43,U.K.,Berkshire,Reading,English,['Redroofs Theatre School'],,F,['Actress'],
Billy Bush,https://en.wikipedia.org/wiki/Billy_Bush,47,U.S.,New York,New York City,American,['Colby College'],,M,"['Television presenter', 'radio personality']",
Gwendoline Christie,https://en.wikipedia.org/wiki/Gwendoline_Christie,39,U.K.,England,Worthing,British,['Drama Centre London'],,F,"['Actress', 'Model']",
Van Jones,https://en.wikipedia.org/wiki/Van_Jones,50,U.S.,Tennessee,Jackson,American,,"['University of Tennessee at Martin', 'Yale University']",M,"['Attorney', 'commentator', 'political activist']",Democratic
